ID,LID,Width,Color,type,LinkId
877,5812,10,W,1,0
878,5813,10,W,1,0
879,5814,10,W,1,0
880,5815,10,W,1,0
881,5816,10,W,1,0
882,5817,10,W,1,0
883,5818,10,W,1,0
884,5819,10,W,1,0
885,5820,10,W,1,0
886,5821,10,W,1,0
887,5822,10,W,1,0
888,5823,10,W,1,0
889,5824,10,W,1,0
890,5825,10,W,1,0
891,5826,10,W,1,0
892,5827,10,W,1,0
893,5828,10,W,1,0
894,5829,10,W,1,0
895,5830,10,W,1,0
896,5831,10,W,1,0
897,5832,10,W,1,0
898,5833,10,W,1,0
899,5834,10,W,1,0
900,5835,10,W,1,0
901,5836,10,W,1,0
902,5837,10,W,1,0
903,5838,10,W,1,0
904,5839,10,W,1,0
905,5840,10,W,1,0
906,5841,10,W,1,0
907,5842,10,W,1,0
908,5843,10,W,1,0
909,5844,10,W,1,0
910,5845,10,W,1,0
911,5846,10,W,1,0
912,5847,10,W,1,0
913,5848,10,W,1,0
914,5849,10,W,1,0
915,5850,10,W,1,0
916,5851,10,W,1,0
917,5852,10,W,1,0
918,5853,10,W,1,0
919,5854,10,W,1,0
920,5855,10,W,1,0
921,5856,10,W,1,0
922,5857,10,W,1,0
923,5858,10,W,1,0
924,5859,10,W,1,0
925,5860,10,W,1,0
926,5861,10,W,1,0
927,5862,10,W,1,0
928,5863,10,W,1,0
929,5864,10,W,1,0
930,5865,10,W,1,0
931,5866,10,W,0,0
932,5867,10,W,1,0
933,5868,10,W,1,0
934,5869,10,W,1,0
935,5870,10,W,1,0
936,5871,10,W,1,0
937,5872,10,W,1,0
938,5873,10,W,1,0
939,5874,10,W,1,0
940,5875,10,W,1,0
941,5876,10,W,1,0
942,5877,10,W,1,0
943,5878,10,W,1,0
944,5879,10,W,1,0
945,5880,10,W,1,0
946,5881,10,W,1,0
947,5882,10,W,1,0
948,5883,10,W,1,0
949,5884,10,W,1,0
950,5885,10,W,1,0
951,5886,10,W,1,0
952,5887,10,W,1,0
953,5888,10,W,1,0
954,5889,10,W,1,0
955,5890,10,W,1,0
956,5891,10,W,1,0
957,5892,10,W,1,0
958,5893,10,W,1,0
959,5894,10,W,1,0
960,5895,10,W,1,0
961,5896,10,W,1,0
962,5897,10,W,1,0
963,5898,10,W,1,0
964,5899,10,W,1,0
965,5900,10,W,1,0
966,5901,10,W,1,0
967,5902,10,W,1,0
968,5903,10,W,1,0
969,5904,10,W,1,0
970,5905,10,W,1,0
971,5906,10,W,1,0
972,5907,10,W,1,0
973,5908,10,W,1,0
974,5909,10,W,1,0
975,5910,10,W,1,0
976,5911,10,W,1,0
977,5912,10,W,1,0
978,5913,10,W,1,0
979,5914,10,W,1,0
980,5915,10,W,1,0
981,5916,10,W,1,0
982,5917,10,W,1,0
983,5918,10,W,1,0
984,5919,10,W,1,0
985,5920,10,W,1,0
986,5921,10,W,1,0
987,5922,10,W,1,0
988,5923,10,W,1,0
989,5924,10,W,1,0
990,5925,10,W,1,0
991,5926,10,W,1,0
992,5927,10,W,1,0
993,5928,10,W,1,0
994,5929,10,W,1,0
995,5930,10,W,1,0
996,5931,10,W,1,0
997,5932,10,W,1,0
998,5933,10,W,1,0
999,5934,10,W,1,0
1000,5935,10,W,1,0
1001,5936,10,W,1,0
1002,5937,10,W,1,0
1003,5938,10,W,1,0
1004,5939,10,W,1,0
1005,5940,10,W,1,0
1006,5941,10,W,1,0
1007,5942,10,W,1,0
1008,5943,10,W,1,0
1009,5944,10,W,1,0
1010,5945,10,W,1,0
1011,5946,10,W,1,0
1012,5947,10,W,1,0
1013,5948,10,W,1,0
1014,5949,10,W,1,0
1015,5950,10,W,1,0
1016,5951,10,W,1,0
1017,5952,10,W,1,0
1018,5953,10,W,1,0
1019,5954,10,W,1,0
1020,5955,10,W,1,0
1021,5956,10,W,1,0
1022,5957,10,W,1,0
1023,5958,10,W,1,0
1024,5959,10,W,1,0
1025,5960,10,W,1,0
1026,5961,10,W,1,0
1027,5962,10,W,1,0
1028,5963,10,W,1,0
1029,5964,10,W,1,0
1030,5965,10,W,1,0
1031,5966,10,W,1,0
1032,5967,10,W,1,0
1033,5968,10,W,1,0
1034,5969,10,W,1,0
1035,5970,10,W,1,0
1036,5971,10,W,1,0
1037,5972,10,W,1,0
1038,5973,10,W,1,0
1039,5974,10,W,1,0
1040,5975,10,W,1,0
1041,5976,10,W,1,0
1042,5977,10,W,1,0
1043,5978,10,W,1,0
1044,5979,10,W,1,0
1045,5980,10,W,1,0
1046,5981,10,W,1,0
1047,5982,10,W,1,0
1048,5983,10,W,1,0
1049,5984,10,W,1,0
1050,5985,10,W,1,0
1051,5986,10,W,1,0
1052,5987,10,W,1,0
1053,5988,10,W,1,0
1054,5989,10,W,1,0
1055,5990,10,W,1,0
1056,5991,10,W,1,0
1057,5992,10,W,1,0
1058,5993,10,W,1,0
1059,5994,10,W,1,0
1060,5995,10,W,1,0
1061,5996,10,W,1,0
1062,5997,10,W,1,0
1063,5998,10,W,1,0
