DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
458,1.196,32392,0,0,0,0,0,1.20,1.20
459,1.196,16984,0,0,0,0,0,1.20,1.20
460,1.196,25494,0,0,0,0,0,1.20,1.20
461,1.196,34747,0,0,0,0,0,1.20,1.20
462,1.196,12438,0,0,0,0,0,1.20,1.20
463,1.196,15873,0,0,0,0,0,1.20,1.20
464,1.196,42393,0,0,0,0,0,1.20,1.20
465,1.196,28804,0,0,0,0,0,1.20,1.20
466,1.196,15747,0,0,0,0,0,1.20,1.20
467,1.196,40103,0,0,0,0,0,1.20,1.20
468,1.196,26981,0,0,0,0,0,1.20,1.20
469,1.190,11762,0,0,0,0,0,1.20,1.20
470,1.190,3597,0,0,0,0,0,1.20,1.20
471,1.190,13076,0,0,0,0,0,1.20,1.20
472,1.190,34251,0,0,0,0,0,1.20,1.20
473,1.190,31885,0,0,0,0,0,1.20,1.20
474,1.190,29836,0,0,0,0,0,1.20,1.20
475,1.190,18120,0,0,0,0,0,1.20,1.20
476,1.190,37462,0,0,0,0,0,1.20,1.20
477,1.190,27519,0,0,0,0,0,1.20,1.20
478,1.190,8562,0,0,0,0,0,1.20,1.20
479,1.190,4890,0,0,0,0,0,1.20,1.20
480,1.190,36318,0,0,0,0,0,1.20,1.20
481,1.190,10776,0,0,0,0,0,1.20,1.20
482,1.190,32160,0,0,0,0,0,1.20,1.20
483,1.190,28338,0,0,0,0,0,1.20,1.20
484,1.190,33151,0,0,0,0,0,1.20,1.20
485,1.190,24406,0,0,0,0,0,1.20,1.20
486,1.190,32820,0,0,0,0,0,1.20,1.20
487,1.190,40215,0,0,0,0,0,1.20,1.20
488,1.190,44051,0,0,0,0,0,1.20,1.20
489,1.190,2862,0,0,0,0,0,1.20,1.20
490,1.190,10210,0,0,0,0,0,1.20,1.20
491,1.190,21305,0,0,0,0,0,1.20,1.20
492,1.190,3621,0,0,0,0,0,1.20,1.20
493,1.190,5982,0,0,0,0,0,1.20,1.20
494,1.190,23336,0,0,0,0,0,1.20,1.20
495,1.190,34509,0,0,0,0,0,1.20,1.20
496,1.190,32390,0,0,0,0,0,1.20,1.20
497,1.190,24803,0,0,0,0,0,1.20,1.20
498,1.190,14881,0,0,0,0,0,1.20,1.20
499,1.190,15373,0,0,0,0,0,1.20,1.20
500,1.190,33058,0,0,0,0,0,1.20,1.20
501,1.190,3411,0,0,0,0,0,1.20,1.20
502,1.190,1393,0,0,0,0,0,1.20,1.20
503,1.190,37450,0,0,0,0,0,1.20,1.20
504,1.190,20016,0,0,0,0,0,1.20,1.20
505,1.190,2446,0,0,0,0,0,1.20,1.20
506,1.190,17495,0,0,0,0,0,1.20,1.20
507,1.190,14239,0,0,0,0,0,1.20,1.20
508,1.190,12767,0,0,0,0,0,1.20,1.20
509,1.190,40517,0,0,0,0,0,1.20,1.20
510,1.190,16731,0,0,0,0,0,1.20,1.20
511,1.190,36059,0,0,0,0,0,1.20,1.20
